IDTree	Species	DBH	Height	X	Y	BasalArea	Volume	Quadrant
594	Common pine	31.3	28.7	419279.77	5851580.27	0.077	0.994	3
595	Copper beech	10.5	14.7	419280.06	5851580.46	0.009	0.057	3
596	Common pine	34.8	29.1	419277.42	5851580.45	0.095	1.228	3
597	Copper beech	9.3	13.6	419278.53	5851578.63	0.007	0.037	3
598	Common pine	39.3	29.5	419278.89	5851575.52	0.121	1.613	3
599	Copper beech	12.4	16.3	419276.43	5851576.15	0.012	0.090	3
600	Common pine	30.7	28.6	419275.41	5851577.07	0.074	0.945	3
601	Copper beech	13.5	17.1	419274.86	5851577.61	0.014	0.111	3
602	Copper beech	8.0	12.0	419273.22	5851578.22	0.005	0.017	3
603	Copper beech	9.4	13.7	419271.66	5851576.35	0.007	0.039	3
604	Common pine	33.9	29.0	419271.42	5851578.34	0.090	1.156	3
605	Common pine	39.2	29.5	419268.75	5851577.47	0.121	1.606	3
606	Copper beech	14.3	17.6	419267.27	5851574.64	0.016	0.133	3
607	Copper beech	15.4	18.2	419267.82	5851578.06	0.019	0.158	3
608	Common pine	62.4	30.7	419264.75	5851575.22	0.306	4.320	3
609	Copper beech	10.4	14.7	419264.82	5851573.77	0.008	0.055	3
610	Common pine	35.4	29.2	419261.96	5851570.89	0.098	1.283	3
611	Sessile oak	12.9	16.7	419260.87	5851573.65	0.013	0.098	3
612	Copper beech	15.4	18.2	419260.73	5851573.86	0.019	0.158	3
613	Common pine	29.2	28.4	419256.30	5851574.67	0.067	0.851	3
614	Copper beech	17.3	19.1	419254.68	5851573.57	0.024	0.211	3
615	Copper beech	13.4	17.0	419251.14	5851573.75	0.014	0.109	3
616	Copper beech	26.9	22.1	419257.16	5851568.47	0.057	0.598	3
617	Common pine	36.5	29.3	419259.95	5851567.71	0.105	1.369	3
618	Common pine	32.8	28.9	419269.67	5851572.40	0.084	1.094	3
619	Copper beech	18.2	19.5	419274.23	5851573.48	0.026	0.243	3
620	Copper beech	9.7	14.0	419273.92	5851572.70	0.007	0.044	3
621	Copper beech	8.0	12.0	419274.26	5851573.13	0.005	0.017	3
622	Common pine	33.9	29.0	419255.53	5851563.03	0.090	1.156	3
623	Copper beech	7.1	10.8	419250.45	5851500.63	0.004	0.010	3
624	Common pine	36.0	29.2	419255.64	5851559.41	0.102	1.329	3
625	Copper beech	13.7	17.2	419259.53	5851558.33	0.015	0.115	3
626	Copper beech	23.5	21.3	419261.88	5851556.33	0.043	0.441	3
627	Common pine	33.3	28.9	419264.19	5851556.57	0.087	1.141	3
628	Copper beech	22.1	20.9	419265.80	5851555.94	0.038	0.390	3
629	Common pine	35.4	29.2	419264.20	5851560.70	0.098	1.283	3
630	Copper beech	14.8	17.9	419262.83	5851562.76	0.017	0.144	3
631	Copper beech	16.5	18.8	419261.36	5851563.56	0.021	0.191	3
632	Copper beech	9.1	13.3	419260.71	5851564.83	0.007	0.034	3
633	Copper beech	14.9	17.9	419266.15	5851560.61	0.017	0.146	3
634	Copper beech	15.4	18.2	419267.59	5851560.92	0.019	0.158	3
635	Copper beech	7.1	10.8	419267.91	5851562.46	0.004	0.010	3
636	Common pine	29.9	28.5	419270.14	5851559.77	0.070	0.885	3
637	Sessile oak	8.4	12.5	419270.47	5851559.91	0.006	0.023	3
638	Sessile oak	16.7	18.9	419270.51	5851560.86	0.022	0.202	3
639	Common pine	28.6	28.4	419269.41	5851562.41	0.064	0.803	3
640	Sessile oak	13.6	17.1	419268.45	5851562.68	0.015	0.113	3
641	Common pine	39.0	29.5	419270.41	5851566.97	0.119	1.571	3
642	Copper beech	19.4	20.0	419270.35	5851567.40	0.030	0.285	3
643	Copper beech	19.3	20.0	419274.71	5851563.56	0.029	0.282	3
644	Common pine	28.5	28.3	419274.99	5851559.58	0.064	0.799	3
646	Copper beech	13.0	16.7	419276.79	5851565.44	0.013	0.100	3
647	Common pine	32.6	28.9	419277.57	5851567.77	0.083	1.083	3
648	Common pine	33.5	29.0	419279.35	5851562.40	0.088	1.152	3
649	Copper beech	17.2	19.1	419280.08	5851561.57	0.023	0.208	3
650	Sessile oak	8.1	12.2	419281.75	5851562.97	0.005	0.021	3
652	Common pine	33.8	29.0	419280.43	5851567.29	0.090	1.151	3
653	Copper beech	7.1	10.8	419280.95	5851568.33	0.004	0.010	3
654	Copper beech	22.7	21.1	419281.96	5851568.86	0.040	0.404	3
655	Copper beech	12.2	16.2	419282.94	5851565.91	0.012	0.086	3
656	Copper beech	7.8	11.8	419285.82	5851562.25	0.005	0.015	3
657	Sessile oak	9.6	13.9	419286.46	5851562.90	0.007	0.043	3
658	Copper beech	15.9	18.5	419286.00	5851566.46	0.020	0.170	3
659	Sessile oak	13.8	17.3	419284.67	5851567.70	0.015	0.117	3
660	Common pine	32.7	28.9	419287.24	5851572.76	0.084	1.088	3
661	Copper beech	25.5	21.8	419292.48	5851563.38	0.051	0.538	3
662	Sessile oak	11.8	15.9	419293.35	5851568.82	0.011	0.079	3
663	Common pine	38.8	29.5	419293.84	5851568.78	0.118	1.558	3
664	Common spruce	7.7	7.5	419294.36	5851567.92	0.005	0.010	3
665	Sessile oak	12.1	16.1	419295.46	5851575.48	0.011	0.084	3
666	Sessile oak	13.9	17.3	419295.97	5851574.67	0.015	0.120	3
667	Common pine	28.0	28.3	419295.97	5851574.48	0.062	0.767	3
668	Common pine	30.9	28.7	419298.44	5851571.90	0.075	0.955	3
669	Sessile oak	14.6	17.7	419299.69	5851567.25	0.017	0.142	3
670	Copper beech	16.8	18.9	419303.18	5851567.42	0.022	0.198	3
671	Copper beech	8.4	12.5	419303.66	5851570.13	0.006	0.023	3
672	Sessile oak	7.6	11.5	419302.29	5851571.73	0.005	0.017	3
673	Common pine	39.1	29.5	419301.88	5851573.25	0.120	1.598	3
674	Sessile oak	15.1	18.0	419292.35	5851607.13	0.018	0.154	4
675	Copper beech	13.1	16.8	419292.02	5851611.39	0.013	0.108	4
676	Common pine	41.2	29.6	419294.38	5851607.76	0.133	1.793	4
677	Common pine	45.1	29.9	419293.40	5851615.31	0.160	2.176	4
678	Copper beech	15.7	18.4	419292.95	5851614.56	0.019	0.165	4
679	Sessile oak	12.0	16.0	419297.97	5851607.85	0.011	0.082	4
680	Copper beech	13.4	17.0	419298.98	5851608.79	0.014	0.109	4
681	Copper beech	17.9	19.4	419299.05	5851609.24	0.025	0.228	4
682	Common pine	36.8	29.3	419299.63	5851610.67	0.106	1.388	4
683	Copper beech	16.4	18.7	419300.08	5851614.26	0.021	0.188	4
684	Common pine	37.7	29.4	419302.55	5851610.69	0.112	1.465	4
685	Copper beech	12.1	16.1	419303.39	5851610.46	0.011	0.084	4
686	Common pine	35.6	29.2	419303.53	5851616.21	0.100	1.295	4
687	Copper beech	16.3	18.7	419303.71	5851615.26	0.021	0.186	4
688	Common pine	49.0	30.1	419305.83	5851613.02	0.189	2.563	4
689	Copper beech	13.4	17.0	419305.71	5851613.36	0.014	0.109	4
690	Copper beech	11.6	15.7	419308.04	5851614.30	0.011	0.075	4
692	Copper beech	10.6	14.8	419309.55	5851617.25	0.009	0.059	4
693	Copper beech	15.8	18.4	419312.98	5851613.52	0.020	0.168	4
694	Copper beech	12.8	16.6	419312.77	5851615.88	0.013	0.097	4
695	Copper beech	18.4	19.6	419315.90	5851614.56	0.027	0.248	4
696	Copper beech	11.0	15.2	419316.06	5851616.94	0.010	0.063	4
697	Common pine	44.2	29.9	419313.66	5851619.11	0.153	2.084	4
698	Copper beech	8.6	12.8	419315.31	5851619.14	0.006	0.026	4
699	Copper beech	14.2	17.5	419317.85	5851610.72	0.016	0.131	4
700	Common pine	31.1	28.7	419318.66	5851617.07	0.076	0.983	4
701	Copper beech	15.7	18.4	419320.81	5851618.31	0.019	0.165	4
702	Common pine	30.7	28.6	419322.24	5851610.98	0.074	0.945	4
703	Copper beech	8.6	12.8	419323.65	5851616.79	0.006	0.026	4
704	Copper beech	13.3	16.9	419326.80	5851610.80	0.014	0.112	4
705	Common pine	46.5	30.0	419325.67	5851620.60	0.170	2.312	4
706	Copper beech	18.2	19.5	419328.83	5851620.67	0.026	0.243	4
707	Copper beech	9.0	13.2	419327.58	5851620.33	0.006	0.030	4
708	Copper beech	12.1	16.1	419329.85	5851624.56	0.011	0.084	4
709	Copper beech	12.7	16.5	419332.02	5851619.56	0.013	0.095	4
710	Copper beech	13.7	17.2	419333.08	5851619.93	0.015	0.115	4
711	Common pine	41.1	29.6	419333.59	5851610.94	0.133	1.785	4
712	Common pine	30.0	28.6	419331.94	5851623.39	0.071	0.891	4
713	Copper beech	15.2	18.1	419333.31	5851622.96	0.018	0.153	4
714	Common pine	28.1	28.3	419336.58	5851627.36	0.062	0.780	4
715	Copper beech	18.4	19.6	419339.12	5851622.16	0.027	0.248	4
716	Copper beech	14.5	17.7	419339.86	5851616.95	0.017	0.138	4
717	Common pine	35.6	29.2	419337.13	5851615.22	0.100	1.295	4
718	Copper beech	15.6	18.3	419334.30	5851615.60	0.019	0.163	4
719	Copper beech	12.4	16.3	419332.69	5851615.17	0.012	0.090	4
720	Copper beech	22.2	20.9	419331.23	5851614.40	0.039	0.393	4
721	Common pine	39.5	29.5	419331.69	5851612.80	0.123	1.627	4
722	Copper beech	7.4	11.3	419329.61	5851613.93	0.004	0.010	4
723	Copper beech	14.2	17.5	419327.66	5851615.87	0.016	0.131	4
724	Common pine	47.8	30.1	419325.14	5851615.75	0.179	2.425	4
725	Copper beech	9.9	14.2	419324.25	5851614.56	0.008	0.042	4
726	Copper beech	14.9	17.9	419324.64	5851612.74	0.017	0.146	4
727	Copper beech	20.3	20.3	419325.60	5851612.66	0.032	0.313	4
728	Copper beech	7.9	11.9	419326.68	5851610.33	0.005	0.016	4
729	Common pine	41.1	29.6	419319.40	5851613.68	0.133	1.785	4
730	Copper beech	15.8	18.4	419320.40	5851610.13	0.020	0.168	4
731	Copper beech	21.4	20.7	419320.24	5851608.34	0.036	0.358	4
732	Copper beech	8.2	12.3	419319.95	5851610.79	0.005	0.020	4
733	Copper beech	7.2	11.0	419318.87	5851610.55	0.004	0.011	4
734	Copper beech	8.0	12.0	419318.81	5851610.26	0.005	0.017	4
735	Common pine	36.9	29.3	419317.70	5851610.58	0.107	1.395	4
736	Common pine	31.8	28.8	419314.31	5851611.93	0.079	1.020	4
737	Copper beech	8.3	12.4	419313.53	5851610.86	0.005	0.022	4
738	Copper beech	15.5	18.2	419312.62	5851610.30	0.019	0.161	4
739	Copper beech	17.3	19.1	419310.02	5851609.57	0.024	0.211	4
740	Common pine	34.7	29.1	419307.73	5851608.20	0.095	1.222	4
741	Common pine	32.9	28.9	419308.40	5851604.73	0.085	1.099	4
742	Copper beech	19.1	19.9	419304.42	5851605.40	0.029	0.276	4
743	Copper beech	27.1	22.2	419302.21	5851601.69	0.058	0.615	4
